player_name,cricsheet_id,cricinfo_id,unique_name,match_method,resolved,balls_bowled,is_bowler,wikidata_item,enwiki_title,enwiki_rev_id,enwiki_rev_timestamp,batting_style,bowling_style,playing_role,infobox_template,player_name_norm,cricsheet_id_norm
SHT Kandamby,488b7e1b,49363.0,SHT Kandamby,unique_name,True,0,False,http://www.wikidata.org/entity/Q3530730,Thilina Kandamby,1325278292.0,2025-12-02T04:42:01Z,Left-handed,Right arm leg break,,Infobox cricketer,sht kandamby,488b7e1b
Ravinder Singh,710e1a5c,1204009.0,Ravinder Singh,unique_name,True,0,False,,,,,,,,,ravinder singh,710e1a5c
Mudassar Muhammad,7dde58c9,1046603.0,Mudassar Muhammad,unique_name,True,0,False,http://www.wikidata.org/entity/Q38521328,Mudassar Muhammad,1313122791.0,2025-09-24T11:56:34Z,Right-handed,Right-arm off-break,,Infobox cricketer,mudassar muhammad,7dde58c9
G Raymond,a9f43e60,1333967.0,G Raymond,unique_name,True,0,False,,,,,,,,,g raymond,a9f43e60
Hasan Yanar,c8c4709d,1493421.0,Hasan Yanar,unique_name,True,0,False,,,,,,,,,hasan yanar,c8c4709d
JDA Richardson,e8c00c13,1111485.0,JDA Richardson,unique_name,True,0,False,,,,,,,,,jda richardson,e8c00c13
A Mucyodusenge,de72e7c9,1343669.0,A Mucyodusenge,unique_name,True,0,False,,,,,,,,,a mucyodusenge,de72e7c9
R Vishwanath,02fa5417,1198916.0,R Vishwanath,unique_name,True,0,False,,,,,,,,,r vishwanath,02fa5417
B Ivanov,7d4f6e1f,1203897.0,B Ivanov,unique_name,True,0,False,,,,,,,,,b ivanov,7d4f6e1f
R Pillai,7a7c7e57,467743.0,R Pillai,unique_name,True,0,False,http://www.wikidata.org/entity/Q38522056,Rishi Pillai,1298827840.0,2025-07-05T00:05:17Z,Right-handed,Right-arm Medium,,Infobox cricketer,r pillai,7a7c7e57
A McAuley,39e599c8,469114.0,A McAuley,unique_name,True,0,False,,,,,,,,,a mcauley,39e599c8
M Worndl,e8d1c172,1447946.0,M Worndl,unique_name,True,0,False,,,,,,,,,m worndl,e8d1c172
Khandubhai Ahir,bbf5da29,1403967.0,Khandubhai Ahir,unique_name,True,0,False,,,,,,,,,khandubhai ahir,bbf5da29
QF Djakaridja,9ae09b37,1459930.0,QF Djakaridja,unique_name,True,0,False,,,,,,,,,qf djakaridja,9ae09b37
E Haven,5190900f,1287095.0,E Haven,unique_name,True,0,False,,,,,,,,,e haven,5190900f
RL Vitas,869f61bc,1321224.0,RL Vitas,unique_name,True,0,False,,,,,,,,,rl vitas,869f61bc
KB Patil,0474fd64,1463380.0,KB Patil,unique_name,True,0,False,,,,,,,,,kb patil,0474fd64
Faisal Raza,dccb802c,1479949.0,Faisal Raza,unique_name,True,0,False,,,,,,,,,faisal raza,dccb802c
T Kaisala,80ba2fe8,581605.0,T Kaisala,unique_name,True,0,False,,,,,,,,,t kaisala,80ba2fe8
Mongdara Sok,9c5c3408,1516330.0,Mongdara Sok,unique_name,True,0,False,,,,,,,,,mongdara sok,9c5c3408
Z Arinaitwe,88ee683b,928113.0,Z Arinaitwe,unique_name,True,0,False,http://www.wikidata.org/entity/Q56630833,Zephania Arinaitwe,1321560779.0,2025-11-11T06:58:56Z,Right-handed,Right-arm offbreak,,Infobox cricketer,z arinaitwe,88ee683b
Shaof Hassan,f6e160d7,1167828.0,Shaof Hassan,unique_name,True,0,False,,,,,,,,,shaof hassan,f6e160d7
AS Hundal,c3c30109,1419050.0,AS Hundal,unique_name,True,0,False,,,,,,,,,as hundal,c3c30109
LA Collado,177009a5,572235.0,LA Collado,unique_name,True,0,False,,,,,,,,,la collado,177009a5
Raja Shoaib,7b0ea09e,1167325.0,Raja Shoaib,unique_name,True,0,False,,,,,,,,,raja shoaib,7b0ea09e
Lwin Maw,ae1300a0,1116748.0,Lwin Maw,unique_name,True,0,False,,,,,,,,,lwin maw,ae1300a0
J Essex,84012d7f,1459922.0,J Essex,unique_name,True,0,False,,,,,,,,,j essex,84012d7f
A Oxley,d1317833,1463244.0,A Oxley,unique_name,True,0,False,,,,,,,,,a oxley,d1317833
Ovais Yousof,cda8ef3a,1158761.0,Ovais Yousof,unique_name,True,0,False,http://www.wikidata.org/entity/Q64010019,Ovais Yousof,1263918419.0,2024-12-19T11:16:21Z,,,,,ovais yousof,cda8ef3a
MJ Scotland,a1cc467d,1111484.0,MJ Scotland,unique_name,True,0,False,,,,,,,,,mj scotland,a1cc467d
Hammad Mirza,0b7b78c6,1453642.0,Hammad Mirza,unique_name,True,0,False,,,,,,,,,hammad mirza,0b7b78c6
Khizer Ahmed,723ca856,1188641.0,Khizer Ahmed,unique_name,True,0,False,http://www.wikidata.org/entity/Q64745066,Khizer Ahmed,1264022073.0,2024-12-20T00:22:20Z,,,,,khizer ahmed,723ca856
Ali Raza,db51b9a0,792229.0,Ali Raza,unique_name,True,0,False,,,,,,,,,ali raza,db51b9a0
S Bangera,856fc47a,467814.0,S Bangera,unique_name,True,0,False,,,,,,,,,s bangera,856fc47a
RT Rubbi,17f68661,1082748.0,RT Rubbi,unique_name,True,0,False,,,,,,,,,rt rubbi,17f68661
Cihan Altun,b8396e67,1382782.0,Cihan Altun,unique_name,True,0,False,,,,,,,,,cihan altun,b8396e67
Abdullah Khan Lodhi,6d8b7ac4,1437349.0,Abdullah Khan Lodhi,unique_name,True,0,False,,,,,,,,,abdullah khan lodhi,6d8b7ac4
A Raza,838bc6ab,520128.0,A Raza,unique_name,True,0,False,,,,,,,,,a raza,838bc6ab
Te Senglong,5981d557,307613.0,Te Senglong,unique_name,True,0,False,,,,,,,,,te senglong,5981d557
VF Bomnyuy,3bc18521,1347278.0,VF Bomnyuy,unique_name,True,0,False,,,,,,,,,vf bomnyuy,3bc18521
R Murugan,a2437e72,1514455.0,R Murugan,unique_name,True,0,False,,,,,,,,,r murugan,a2437e72
SP Guzman,37a1766e,1287106.0,SP Guzman,unique_name,True,0,False,,,,,,,,,sp guzman,37a1766e
AP Rajeevan,63d6f031,1335264.0,AP Rajeevan,unique_name,True,0,False,,,,,,,,,ap rajeevan,63d6f031
MH Oman,6005fe89,515054.0,MH Oman,unique_name,True,0,False,,,,,,,,,mh oman,6005fe89
Nurudeen Ibrahim,d0d9790b,1155522.0,Nurudeen Ibrahim,unique_name,True,0,False,,,,,,,,,nurudeen ibrahim,d0d9790b
Rohit Limbu,6b429231,1517337.0,Rohit Limbu,unique_name,True,0,False,,,,,,,,,rohit limbu,6b429231
Abdullah Shahid,71686118,386982.0,Abdullah Shahid,unique_name,True,0,False,,,,,,,,,abdullah shahid,71686118
L Nakomo,1abfa11e,1283113.0,L Nakomo,unique_name,True,0,False,,,,,,,,,l nakomo,1abfa11e
C Potgieter,d3bdc89c,1484576.0,C Potgieter,unique_name,True,0,False,,,,,,,,,c potgieter,d3bdc89c
O Olaleye,811785d2,1089930.0,O Olaleye,unique_name,True,0,False,,,,,,,,,o olaleye,811785d2
VV Morea,e64c10dd,387435.0,VV Morea,unique_name,True,0,False,http://www.wikidata.org/entity/Q7914883,Vani Morea,1302078923.0,2025-07-23T06:48:42Z,Right-handed,Right-arm medium,,Infobox cricketer,vv morea,e64c10dd
D Cato,2f1c0815,307226.0,D Cato,unique_name,True,0,False,http://www.wikidata.org/entity/Q20740696,Darren Cato,1306133486.0,2025-08-16T03:48:07Z,,,,Infobox cricketer,d cato,2f1c0815
SO Olayinka,0f8e08ad,380577.0,SO Olayinka,unique_name,True,0,False,http://www.wikidata.org/entity/Q20744595,Segun Olayinka,1263919151.0,2024-12-19T11:25:43Z,,,,,so olayinka,0f8e08ad
Fiaz Ahmed,df1f2f29,1143528.0,Fiaz Ahmed,unique_name,True,0,False,,,,,,,,,fiaz ahmed,df1f2f29
J Umanath,f909b98d,1182001.0,J Umanath,unique_name,True,0,False,,,,,,,,,j umanath,f909b98d
Sherul Mehta,e9bdb79b,1230632.0,Sherul Mehta,unique_name,True,0,False,,,,,,,,,sherul mehta,e9bdb79b
SU Halarnkar,ec100ae6,1428758.0,SU Halarnkar,unique_name,True,0,False,,,,,,,,,su halarnkar,ec100ae6
Nadif Chowdhury,d6ac6545,56053.0,Nadif Chowdhury,unique_name,True,0,False,http://www.wikidata.org/entity/Q6957738,Nadif Chowdhury,1333041281.0,2026-01-15T09:33:48Z,Right-handed,Slow left-arm orthodox,,Infobox cricketer,nadif chowdhury,d6ac6545
GY Prastama,d9cdf81e,522769.0,GY Prastama,unique_name,True,0,False,,,,,,,,,gy prastama,d9cdf81e
AD Dore,aa867444,649019.0,AD Dore,unique_name,True,0,False,,,,,,,,,ad dore,aa867444
Yusuf Bhoola,5afc0b37,1287104.0,Yusuf Bhoola,unique_name,True,0,False,,,,,,,,,yusuf bhoola,5afc0b37
D Uwimana,1f8e97d7,1151262.0,D Uwimana,unique_name,True,0,False,,,,,,,,,d uwimana,1f8e97d7
S Pokhriyal,073ef5a0,1156481.0,S Pokhriyal,unique_name,True,0,False,,,,,,,,,s pokhriyal,073ef5a0
Benson Chama,8903a5f3,1514020.0,Benson Chama,unique_name,True,0,False,,,,,,,,,benson chama,8903a5f3
J Bangura,d7acab5d,1089823.0,J Bangura,unique_name,True,0,False,,,,,,,,,j bangura,d7acab5d
Aamer Ikram,161641cd,1204633.0,Aamer Ikram,unique_name,True,0,False,,,,,,,,,aamer ikram,161641cd
Sohel Ebrahim Desai,3ec178e7,1454640.0,Sohel Ebrahim Desai,unique_name,True,0,False,,,,,,,,,sohel ebrahim desai,3ec178e7
K Loday,af76af63,1208997.0,K Loday,unique_name,True,0,False,,,,,,,,,k loday,af76af63
T Ramautar,730025e8,1463542.0,T Ramautar,unique_name,True,0,False,,,,,,,,,t ramautar,730025e8
Mohammed Sameer,e6409ae1,452571.0,Mohammed Sameer,unique_name,True,0,False,,,,,,,,,mohammed sameer,e6409ae1
Rashid Hashmi,727b313a,1445607.0,Rashid Hashmi,unique_name,True,0,False,,,,,,,,,rashid hashmi,727b313a
Anthony Roe,0dcd8fbd,1403940.0,Anthony Roe,unique_name,True,0,False,,,,,,,,,anthony roe,0dcd8fbd
PA Raikes,dfe5db8a,298154.0,PA Raikes,unique_name,True,0,False,,,,,,,,,pa raikes,dfe5db8a
Arshad Mazarzei,8e367d57,1217277.0,Arshad Mazarzei,unique_name,True,0,False,,,,,,,,,arshad mazarzei,8e367d57
ADS Fletcher,1bae756b,51862.0,ADS Fletcher,unique_name,True,0,False,http://www.wikidata.org/entity/Q4754780,Andre Fletcher,1338831192.0,2026-02-17T14:05:17Z,Right-handed,,,Infobox cricketer,ads fletcher,1bae756b
MS Maker,14318ae4,1458661.0,MS Maker,unique_name,True,0,False,,,,,,,,,ms maker,14318ae4
Qalandar Khan,7fa79e6a,1058207.0,Qalandar Khan,unique_name,True,0,False,http://www.wikidata.org/entity/Q65054689,Qalandar Khan,1314380895.0,2025-10-01T03:02:54Z,,,,Infobox cricketer,qalandar khan,7fa79e6a
RW Hartley,23d4170c,1453230.0,RW Hartley,unique_name,True,0,False,,,,,,,,,rw hartley,23d4170c
Arsalan Arif,cc65e4a4,1198873.0,Arsalan Arif,unique_name,True,0,False,,,,,,,,,arsalan arif,cc65e4a4
Shamsudheen Purat,33687b0e,1172236.0,Shamsudheen Purat,unique_name,True,0,False,,,,,,,,,shamsudheen purat,33687b0e
C Rice,dbd19fb8,1283115.0,C Rice,unique_name,True,0,False,,,,,,,,,c rice,dbd19fb8
I Komba,25f3c28e,637795.0,I Komba,unique_name,True,0,False,,,,,,,,,i komba,25f3c28e
Md Ariyan,ff4805ee,1490910.0,Md Ariyan,unique_name,True,0,False,,,,,,,,,md ariyan,ff4805ee
IK Darmawan,e3c88145,1082750.0,IK Darmawan,unique_name,True,0,False,,,,,,,,,ik darmawan,e3c88145
E Henry,fd6e215b,1481331.0,E Henry,unique_name,True,0,False,,,,,,,,,e henry,fd6e215b
K Takahashi,039f8170,1159148.0,K Takahashi,unique_name,True,0,False,,,,,,,,,k takahashi,039f8170
Adnan Mufti,811425b1,281653.0,Adnan Mufti,unique_name,True,0,False,http://www.wikidata.org/entity/Q28003514,Adnan Mufti,1338524865.0,2026-02-15T18:00:04Z,Left-handed,Right-arm medium,,Infobox cricketer,adnan mufti,811425b1
L Mutale,754b6bd9,475826.0,L Mutale,unique_name,True,0,False,,,,,,,,,l mutale,754b6bd9
AD Fofana,8d4a236d,1450925.0,AD Fofana,unique_name,True,0,False,,,,,,,,,ad fofana,8d4a236d
C Trott,ae624b05,1144660.0,C Trott,unique_name,True,0,False,http://www.wikidata.org/entity/Q71095724,Charles Trott,1071072984.0,2022-02-10T18:34:59Z,,,,,c trott,ae624b05
Benjamin Embleton,f2d5966a,1490907.0,Benjamin Embleton,unique_name,True,0,False,,,,,,,,,benjamin embleton,f2d5966a
Q Utmanzai,5c2f10ed,1471670.0,Q Utmanzai,unique_name,True,0,False,,,,,,,,,q utmanzai,5c2f10ed
P Syafiq Ali,8c689890,331666.0,P Syafiq Ali,unique_name,True,0,False,http://www.wikidata.org/entity/Q65768392,Pasha Syafiq Ali,1258027023.0,2024-11-17T19:46:17Z,,,,Infobox cricketer,p syafiq ali,8c689890
H McAleer,8b39d02a,1437206.0,H McAleer,unique_name,True,0,False,,,,,,,,,h mcaleer,8b39d02a
D Mauro,5f0f398d,379298.0,D Mauro,unique_name,True,0,False,,,,,,,,,d mauro,5f0f398d
Faizan Asif,8b89eb80,447287.0,Faizan Asif,unique_name,True,0,False,http://www.wikidata.org/entity/Q18637119,Faizan Asif,1333092079.0,2026-01-15T17:34:29Z,Left-handed,,,Infobox cricketer,faizan asif,8b89eb80
